Index,Content,Label
1,"['campania', 'electorală', 'început', 'scandal', 'pățit', 'primarul', 'când', 'lipea', 'afișe', 'scandal', 'și', 'îmbrânceli', 'așa', 'început', 'campania', 'electorală', 'primarul', 'funcție', 'reușit', 'greu', 'săși', 'lipească', 'afișele', 'printre', 'huiduielile', 'susținătorilor', 'nevoie', 'forţă', 'politică', 'reprezinte', 'cinste']",
2,"['liberalii', 'avertizează', 'clujeni', 'privința', 'candidat', 'îngheață', 'apele', 'candidat', 'independent', 'acum', 'declarat', 'recent', 'primarul', 'contracandidează', 'iritat', 'numi', 'comportament', 'sindromul', 'dictatorului', 'bătrân', 'află', 'poziţia', 'primar', 'ani', 'vrea', 'mandat', 'ani', 'poziția', 'larg', 'liberalii', 'clujeni', 'susțin', 'însă', 'acum', 'își', 'arată', 'adevărata', 'față', 'și', 'acuză', 'minciună', 'și', 'oportunism', 'oportunist', 'demonstrează', 'lipsă', 'caracter', 'văzut', 'hantătar', 'minte', 'îngheață', 'apele', 'plagiator', 'partidele', 'și', 'rebuturi', 'câteva', 'concluziile', 'liderului', 'europarlamentarul', 'și', 'președintelui', 'viceprimarul', 'când', 'caracterizează', 'fostul', 'coleg', 'liberal', 'demonstrat', 'dea', 'lungul', 'timpul', 'oportunist', 'profitat', 'arzând', 'etape', 'înseamnă', 'avansarea', 'domniei', 'cariera', 'politică', 'gândesc', 'puțin', 'ajuns', 'consilier', 'local', 'arzând', 'niște', 'etape', 'validat', 'dea', 'lungul', 'timpului', 'fiind', 'performer', 'declarat', 'r']",
3,"['cifre', 'vs', 'nicușor']",
4,"['campanie', 'candidat', 'spart', 'gheața', 'marchează', 'deschiderea', 'oficială', 'campaniei', 'electorale', 'pentrualegerile', 'localeși', 'europarlamentare', 'câteva', 'luni', 'carecandidații', 'partidelornu', 'restricții', 'comunicarea', 'publică', 'regulile', 'aplicabile', 'iunie', 'ora', 'când', 'încheie', 'zile', 'campaniei', 'electorale', 'severe', 'și', 'cazul', 'anunțării', 'candidaturii', 'șia', 'publicat', 'rețelele', 'sociale', 'facebook', 'și', 'tiktok', 'însumează', 'aproape', 'milioane', 'urmăritori', 'video', 'promovare', 'înregistrează', 'recorduri', 'audiență', 'primarul', 'cristian', 'candidatul', 'transmis', 'mesaj', 'mobilizare', 'și', 'îndemn', 'vot', 'continuă', 'tema', 'separării', 'politicii', 'administrația', 'locală']",
5,"['mesajul', 'debutul', 'oficial', 'campaniei', 'electorale', 'electoralăpentru', 'alegerile', 'locale', 'europarlamentare', 'data', 'iunie', 'începe', 'vineri', 'încheiei', 'iunie', 'ora', 'campania', 'audiovizual', 'încheia', 'iunie', 'ora', 'biroul', 'recomandă', 'competitorilor', 'electorali', 'discurs', 'echilibrat', 'onest', 'evite', 'denaturarea', 'manipularea', 'informaţiilor']",
6,"['rămas', 'definitiv', 'candidații', 'primăriile', 'integrală', 'funcţia', 'edil', 'general', 'intră', 'cursă', 'data', 'iunie', 'depuse', 'rămas', 'definitive', 'miercuri', 'seara']",
7,"['trebuie', 'știi', 'alegerile', 'europarlamentare', 'puzzle', 'piese', 'alege', 'câștigă', 'europarlamentar', 'începutul', 'lunii', 'iunie', 'cetăţenii', 'aleg', 'legislatori', 'forma', 'alegerile', 'conform', 'propriilor', 'cuvinte', 'instituţiei', 'ample', 'alegeri', 'transnaţionale', 'lume', 'privire', 'atentă', 'apt', 'colecţie', 'alegeri', 'diferite', 'diferitele', 'ţări', 'organizează', 'maniere', 'diferite']",
8,"['ministrul', 'întâlnit', 'omologul', 'spanion', 'decise', 'vizează', 'toți', 'românii', 'muncesc', 'omoloafa', 'joi', 'principalele', 'teme', 'discuţie', 'vizând', 'cooperarea', 'domeniul', 'economiei', 'sociale', 'domeniul', 'ocupării', 'acordarea', 'dublei', 'cetăţenii', 'românii', 'oficiali', 'agreat', 'solicitarea', 'ministrului', 'completarea', 'înţelegere', 'privind', 'cooperarea', 'ministere', 'semnat', 'noiembrie', 'domeniul', 'economiei', 'sociale', 'arată', 'comunicatul', 'presă']",
9,"['eugen', 'începe', 'devină', 'stare', 'spirit', 'declarat', 'joi', 'seara', 'început', 'devină', 'stare', 'spirit', 'modelul', 'politic', 'sperie', 'guvernează', 'minciună', 'instrumente', 'ajutorul', 'cărora', 'şantajează', 'primarii', 'relatează', 'agerpres', 'începe', 'devină', 'stare', 'spirit', 'model', 'politic', 'bagă', 'sperieţi', 'guvernează', 'minciună', 'instrumentele', 'utilizează', 'şantaja', 'primarii', 'dosare', 'racola', 'aleşii', 'locali', 'arăta', 'apucături', 'comuniste', 'menţină', 'putere', 'iunie', 'ziua', 'putea', 'luăm', 'revanşa', 'trebuie', 'spunem', 'românilor', 'partidul', 'unic', 'plece', 'acasă', 'iunie', 'trebuie', 'susţină', 'lăsăm', 'iunie', 'palat', 'faraon', 'iasă', 'voteze', 'susţinut', 'cadrul', 'miting', 'dedicat']",
10,"['cătălin', 'trădat', 'voturile', 'românilor', 'dând', 'guvernarea', 'declarat', 'joi', 'şeful', 'statului', 'trădat', 'voturile', 'românilor', 'lau', 'ales', 'urmă', 'zece', 'ani', 'dând', 'guvernarea', 'acum', 'oamenii', 'dezamăgiţi', 'trădat', 'voturi', 'guvernarea', 'aşa', 'oamenii', 'dezamăgiţi', 'iau', 'minţit', 'aliat', 'guvernare', 'promis', 'stabilitate', 'dezvoltare', 'taxe', 'mari', 'corupţie', 'scumpiri', 'nesiguranţă', 'vreau', 'mergem', 'campanie', 'spuneţi', 'oamenilor', 'încredere', 'nui', 'lăsa', 'fure', 'viitorul', 'românia', 'guvernată', 'bine', 'când', 'guvernare', 'făcut', 'mare', 'program', 'modernizare', 'ţării', 'miliarde', 'euro', 'şcoli', 'spitale', 'autostrăzi', 'căi', 'ferate', 'investiţii', 'banii', 'alocaţi', 'p', 'şansa', 'prindem', 'urmă', 'statele', 'vest', 'adevăratul', 'plan', 'ţară', 'creat', 'afirmat', 'miting', 'dedicat']",
